Code	Credits	Name	Description	Availability	Pre-requisites 1	Pre-requisites 2	Pre-requisites 3	Co-Requisites 1	Co-Requisites 2
CHM 110	3	General Chemistry I	Fundamental principles of chemistry. Nomenclature, stoichiometry, atomic structure, periodic relationships, chemical bonding, geometry of molecules, properties of gases, chemical thermodynamics, and solutions.	FALL, SPRING, SUMMER	MA 111;MA 120;MA 140;MA 143			CHM 110L	
CHM 110L	1	General Chemistry I Laboratory	Experiments paralleling the material in CHM 110. Topics include chemical stoichiometry; states of matter; solutions; thermodynamics.	FALL, SPRING, SUMMER				CHM 110	
CHM 111	3	General Chemistry II	Chemical principles that include thermodynamics, acids and bases, rates of reaction, electrochemistry, organic chemistry, synthetic materials.	FALL, SPRING, SUMMER	CHM 110			CHM 111L	
CHM 111L	1	General Chemistry II Laboratory	Chemistry laboratory course with experiments paralleling material in CHM 111. Kinetics, Equilibrium, Acids and Bases, Thermodynamics, Electrochemistry, Nuclear Chemistry, Organic Chemistry, and/or other topics as needed in support of the general chemistry II lecture course.	FALL, SPRING, SUMMER	CHM 110L			CHM 111	
CHM 140	4	Chemistry for Engineers	Chemical stoichiometry, states of matter, solutions, thermodynamics, rate of reaction, equilibrium, oxidation-reduction, corrosion, organic compounds, and polymers.	FALL, SPRING, SUMMER	MA 111;MA 120;MA 140			CHM 140L;CHM 110L	
CHM 140L	1	Chemistry for Engineers Laboratory	One three hour laboratory session per week, with experiments paralleling the material in CHM 140. Topics include chemical stoichiometry; states of matter; solutions; thermodynamics; rate of reaction; equilibrium; oxidation-reduction; corrosion; organic compounds and polymers.	FALL, SPRING, SUMMER				CHM 140;CHM 110	
COM 122	3	English Composition	Adapting communication in response to diverse audiences, purposes, and contexts through rhetorical thinking; addresses composing processes, critical thinking, research, analysis, and documentation. Daytona Beach students must earn a C or better to pass the course.	FALL, SPRING, SUMMER					
COM 219	3	Speech	A continuation of the study of communication and communication theory with emphasis on overcoming communication apprehension, developing listening skills, mastering oral performance, and writing about communication. Individual sections may focus on public speaking, group discussion, oral interpretation, or interpersonal communication. Section emphasis varies by instructor and is listed in the Schedule of Courses.	FALL, SPRING, SUMMER	COM 122				
COM 221	3	Technical Report Writing	This course introduces students to the preparation of formal and informal technical reports, abstracts, proposals, instructions, professional correspondence and other forms of technical communication. Major emphasis is placed on the long technical report and the acquisition of advanced writing skills.	FALL, SPRING, SUMMER	COM 122;ENGL 123;HON 150				
CS 222	3	Introduction to Discrete Structures	Fundamental algebraic, logical, and combinatorial concepts of mathematics; foundation for the study of computer science.	FALL, SPRING					
CS 223	3	Scientific Programming in C	C programming; algorithm development; data types and related operations; input/output operations; control structures; functions; arrays; files; strings.	FALL, SPRING					
CS 225	4	Computer Science II	Introduction to object-oriented programming, data abstraction, information hiding, algorithm analysis, data structures, exception handling, string processing, recursion, software design and testing. A closed laboratory is included.	FALL, SPRING	CS 223;EGR 115			CS 225L	
CS 225L	0	Computer Science II Laboratory	Closed laboratory included with CS 225.	FALL, SPRING				CS 225	
CS 315	3	Data Structures and Analysis of Algorithms	This course emphasizes the design, implementation, and analysis of algorithms dealing with searching, sorting, graphs, trees, and disk files.	FALL	CS 222	CS 225			
CS 317	3	Files and Database Systems	Introduction to file and database systems, theory of database systems, various database models, and the design of a database system. Real-life problems requiring cooperation, problem formulation, and problem-solving skills.	SPRING	CS 222	CS 225			
CS 332	3	Organization of Programming Languages	Comparative study of programming paradigms. Programming in several languages chosen to illustrate the essential features of the paradigms studied. Formal language concepts introduced.	FALL					
CS 344	3	C Programming and UNIX	Advanced C programming concepts and techniques in the UNIX environment. Operating systems principles, process management, memory management, concurrency, UNIX system programming and tools.	SPRING	CS 223				
CS 350	3	Computer Modeling and Simulation	Modeling and simulation. Statistical models, queuing theory, random variate generation, design and analysis of experiments, and verification and validation of simulation models.	FALL, SPRING	CS 223;EGR 115				
CS 355	3	Introduction to Computer Graphics	Computer graphics, algorithms, graphics programming, and graphics design, and graphic packages. Applications to aviation, business, and scientific problems. A term project may be assigned.	SPRING	MA 241				
CS 362	3	Computing Theory	Theoretical foundations of autonomous computation; formal languages; grammars; models of computation; computability and computational complexity; relationships between languages, grammars, and models of computation; properties of languages and classification in the Chomsky Hierarchy.	SPRING, FALL	CS 222				
CS 420	3	Operating Systems	Development, structure, and functions of operating systems; demand service models; development of concurrent models.	FALL	CS 225				
CS 429	3	Current Topics in Cybersecurity	Examination of the most recent, often still developing issues, in the field of cybersecurity; the course content depends on current trends at the time of offering.	FALL, SPRING					
CS 432	3	Information and Computer Security	Overview of information security, including larger context, personnel and operational security, and technical basis and practical difficulties of COMPUSEC itself.	FALL					
CS 455	3	Artificial Intelligence	Introduction to artificial intelligence principles and their applications to real-world problems; agent-based systems; problem-solving algorithms; expert systems; fuzzy logic; feedforward backpropagation artificial neural networks; ethical issues of intelligent systems. Commercial and open-source AI tools and algorithms.	SPRING	CS 225				
CS 462	3	Computer Networks	Modern computer network analysis and design, implementation of the ISO/OSI model, and current standardized protocols. Network architectural layers above the physical layer.	FALL	CEC 320				
EE 223	3	Linear Circuits Analysis I	Volt-ampere characteristics for passive circuit elements, resistive network circuit theory, and simplification. Kirchoff's current and voltage laws. Introduction to linear network theorems and transformations. Transient response of RC, RL, and RLC circuits. Steady state and impedance circuit analysis for sinusoidal sources.	SPRING	MA 345	PS 250		EE 224	
EE 224	1	Electrical Engineering Laboratory I	Circuit experimentation; electrical instrumentation and measurement; working knowledge of electronic test equipment; interpretation of measurement data.	SPRING				EE 223	
EE 307	3	Avionics I	Basic principles and physics of avionics. Evolution of avionic systems from inception to the latest technology. Requirements, techniques, and standardization of avionics and regulatory bodies. Principles of satellite and performance-based navigations; geodetics; terrain aware landing systems; air traffic control; tracking and anticollision systems; data buses and cybersecurity.	FALL, SPRING					
EE 310	3	Avionics II	Provides the second part of a comprehensive and rigorous study of avionics systems. This course includes practical laboratory examples. The course covers avionics systems from the basic physics of avionics to the latest technology. This course is a continuation of EE 307.	FALL, SPRING	EE 307				
EGR 101	2	Introduction to Engineering	A project-based, design experience for engineering majors. Introduces the interdisciplinary aspects of engineering through team projects.	FALL, SPRING					
EGR 115	3	Introduction to Computing for Engineers	Introductory course to computer programming. Algorithm design and software development including specification of the problem, design of a solution, implementation of code, and testing. Applies problem-solving approaches to developing algorithms. Data types and related operations; looping; decision; input/output; functions; arrays; and files.	FALL, SPRING, SUMMER				MA 241;MA112	
GEO 215	3	Introduction to Geoscience	Geologic time scales; plate tectonics; seismicity, waves; volcanism, magma chemistry; karst terrain, aquifers, sinkhole collapse, phreatic and vadose zones, water table withdrawal, drought; Earth's core, mantel, and crust; elements, molecules, minerals, rocks; oceanic and continental crust; chemical and physical weathering; mass wasting; fluvial processes and patterns, watersheds, floodplains, precipitation, evapotranspiration; hydrologic cycle, surface water, groundwater recharge, effects of precipitation; climate classification; aeolian processes and features, aridity, desertification; glaciology, snowfall; ice accumulation/ablation; oceanography; soils; topographic quadrangles, computer mapping, orogenesis.	FALL, SPRING, SUMMER					
GEO 220	3	Geography of Natural Hazards	Global perspectives on societal, environmental, and atmospheric impacts of natural hazards on interdisciplinary perspectives from the fields of Geography, Atmospheric Science, Oceanography, and Social Sciences; earthquakes, volcanoes, tsunamis, hurricanes, tornadoes, floods, heat waves, winter storms, fire, and coastal processes; global case studies illustrating the impact of natural hazards on human vulnerability, resiliency, and adaptability.	FALL, SPRING, SUMMER					
HSI 323	3	Government of the U.S.	Introduction to basic issues of democracy in the U.S.; constitutional principles; the executive, legislative and judicial branches of government.	FALL, SPRING, SUMMER	SS:3:LL				
HU 140	3	Western Humanities I: Antiquity and the Middle Ages	A continuation of COM 122 with an interdisciplinary emphasis. Traces the evolution of the Western humanistic tradition from antiquity to the Middle Ages using examples from art, architecture, music, philosophy, and literature. Emphasizes writing, reading, and appreciation skills.	FALL, SPRING, SUMMER	COM 122				
HU 141	3	Western Humanities II: Renaissance to Postmodern 3	A continuation of COM 122 with interdisciplinary emphasis. Traces the evolution of the Western humanistic tradition from the Renaissance to the Post-modern using examples from art, architecture, music, philosophy, and literature. Emphasizes writing, reading, and appreciation skills.	FALL, SPRING, SUMMER	COM 122				
HU 142	3	Studies in Literature	A continuation of COM 122 with emphasis on a survey of literature. Reading materials include selected novels, poems, and plays. Emphasizes writing, reading, and appreciation skills.	FALL, SPRING, SUMMER	COM 122				
HU 143	3	Introduction to Rhetoric	Fundamentals of rhetorical theory and practice: nature of audiences, history, and application of rhetorical concepts, analysis of persuasive techniques, and the continual re-framing of these issues to meet changing circumstances.	FALL, SPRING, SUMMER	COM 122				
HU 144	3	Studies in Art	A continuation of COM 122 with an emphasis on art. Provides a foundation in the basic vocabulary, concept, processes, and history of art. Works of art, sculpture, architecture, and film from various cultures are analyzed. Emphasizes writing, reading, and appreciation skills.	FALL, SPRING, SUMMER	COM 122				
HU 145	3	Themes in the Humanities	A continuation of COM 122 with interdisciplinary emphasis. Through close reading of primary texts and analysis of visual and performing arts, Themes in the Humanities explores ideas central to the evolution of culture. The course is not restricted by period and is open to the full range of humanistic studies. Themes vary by instructor and are listed in the Schedule of Courses. Emphasizes writing, reading, and appreciation skills.	FALL, SPRING, SUMMER	COM 122				
HU 146	3	Music Appreciation	Listening to and analyzing music as cultural artifacts; Elements of music (rhythm, meter, tempo, pitch), instrumentals of music and musical genres.	FALL, SPRING, SUMMER	COM 122				
HU 300	3	World Literature	Major works and literary trends in world literature. Course content varies by instructor and is listed in the Schedule of Courses.	FALL, SPRING, SUMMER	HU:3:LL				
HU 302	3	Contemporary Issues in Science	An examination of contemporary issues in science. Topics may include but are not limited to stem cell use, DNA engineering, reproductive medicine, obesity, the spread of disease, and responses to climate change. Course focuses on bridging science and humanities, examining how different disciplines approach problems of common interest. The course will include guest experts on selected topics. Focus varies by instructor.	FALL, SPRING, SUMMER	COM 221;COM 222				
HU 305	3	Modern Literature	The mainstreams of literature of this century. Course content varies by instructor and is listed in the Schedule of Courses.	FALL, SPRING, SUMMER	COM 221;COM 222				
MA 241	4	Calculus and Analytical Geometry I	Limits and continuity; differentiation and integration of algebraic and elementary transcendental functions; applications of first and second derivatives.	FALL, SPRING, SUMMER					
MA 242	4	Calculus and Analytical Geometry II	Differentiation and integration of transcendental functions; special integration techniques; applications of the definite integral; numerical methods; infinite series.	FALL, SPRING, SUMMER	MA 241				
MA 243	3	Calculus and Analytical Geometry III	Solid analytic geometry; vector functions in three dimensions; partial differentiation; directional derivative and gradient; line integrals; multiple integrals.	SUMMER, SPRING, FALL	MA 242				
MA 305	3	Introduction to Scientific Computing	This course is an introduction to the Unix operating system, programming in a high level language (e.g., C or Fortran), and the use of mathematical libraries. Applications may include root-finding algorithms, quadrature, least squares, linear systems, and first order differential equations.	FALL, SPRING	MA 242	EGR 115;CS 223			
MA 345	4	Differential Equations and Matrix Methods	The study of the treatment of ordinary differential equations to include principle types of first and second order equations; methods of substitution on simple higher order equations; linear equations and systems of linear equations with constant coefficients; methods of undetermined coefficients and variation of parameters; Laplace transforms; series solutions; linear algebra and matrix methods of solutions; applications to physics and engineering.	SUMMER, SPRING, FALL	MA 243				
MA 412	3	Probability and Statistics	Finite sample spaces; conditional probability and Bayes Theorem, discrete and continuous random variables and their functions; expected value, variance, and standard deviation; systematic study of the major discrete and continuous distributions; moment generating functions; hypothesis testing and estimation.	SUMMER, SPRING, FALL	MA 242				
PS 224	3	Astronomy	A descriptive course dealing with the structure and evolution of the physical universe. Topics include the solar system (Earth, Moon, Sun, and planets), stars, black holes, galaxies, quasars, cosmology, and exobiology. Planetarium trips and night-observing sessions optional.	FALL, SPRING					
PS 224L	3	Introductory General Astronomy Laboratory	One three hour laboratory session per week to supplement the introductory Astronomy course, PS 224, in order to: (1) increase the options available for students to fulfill their general education science requirements; (2) make available an observationally intensive astronomy experience for any student with a basic interest in astronomical observing without committing to either a degree program or degree minor.	FALL, SPRING				PS 224	
PS 226	3	Physics I	This is a calculus based introductory course in mechanics that explores units and order of magnitude analysis, vectors, kinematics, Newton's Law of Motion, momentum methods, work-energy principles, rotational kinematics, torque, gravitation and orbital motion.	FALL, SPRING, SUMMER	MA 241			PS 226L	
PS 226L	1	Physics I Laboratory	One three-hour laboratory session per week, with experiments chosen primarily from mechanics.	FALL, SPRING, SUMMER				PS 226;PS 150	
PS 250	3	Physics for Engineers III	Last in the series of three calculus-based studies of the fundamental principles of classical physics. Electric forces; electric field; Gauss's law; Ohm's law; Ampere's law; Faraday's law; Lenz's law; Kirchhoff's law and Maxwell's equations; electric potential and electrostatic potential energy; capacitance; simple DC circuit theory; magnetic force, magnetic field; inductance; electromagnetic oscillations and wave propagation; linear accelerators; and cyclotrons.	FALL, SPRING, SUMMER	PS 150;PS 226	MA 242			
PS 253	1	Physics Laboratory for Engineers	One three-hour laboratory session per week, with experiments complementing the material of PS 250. Primarily lab report writing workshop, error analysis, damped harmonic oscillations, spectrometers, optics, atomic physics, thermodynamics and circuit theory.	FALL, SPRING, SUMMER				PS 250	
SE 300	3	Software Engineering Practices	Principles and methods of large-scale software engineering; team collaboration on life-cycle projects including planning, requirements, design, implementation, and quality assurance.	FALL, SPRING	CS 225				
SE 310	3	Analysis and Design of Software Systems	Methods for analyzing and designing software systems; requirements analysis; modeling system domain, behavior and functionality; software design application; introduction to design patterns.	SPRING	SE 300				
SE 320	3	Software Construction	Advanced programming in an object-oriented language; proficiency in general-purpose software development; software maintenance and refactoring techniques; creating quality code; introduction to tools and processes for significant software environments.	FALL	SE 300				
SE 420	3	Software Quality Assurance	Key concepts and practices in software testing and quality assurance; software quality through testing, inspection, and walkthrough; testing techniques and methods; management of testing stages; evaluation of different software testing approaches and their advantages and disadvantages.	SPRING	SE 300				
SE 450	3	Software Team Project I	First of two-semester multidisciplinary capstone design course. Requirements gathering, team management, analysis, design, implementation, and testing of software/hardware systems; collaboration using defined processes for product development; project assessment with industrial standards and review techniques.	FALL	SE 310	SE 320			
SE 451	3	Software Team Project II	Second of two-semester multidisciplinary capstone design course. Requirements gathering, team management, analysis, design, implementation, and testing of software/hardware systems; collaboration using defined processes for product development; project assessment with industrial standards and review techniques.	SPRING	SE 450				
SS 110	3	World History	This course is primarily a survey of the development and evolution of World Civilization from 1500 to the present. Emphasis is placed on the effect of Western influence on the world.	FALL, SPRING, SUMMER					
SS 120	3	U.S. History	This course is a survey of the United States history from the conclusion of the Civil War in 1865 to the present. Reconstruction, the age of big business, the United States as a world power, The Great Depression, World War II, The Cold War, Civil Rights, Vietnam, and its aftermath.	FALL, SPRING, SUMMER					
SS 130	3	History of Aviation in America	A survey of the history of America in the 20th century, emphasizing the explosive growth of aviation as a major influence on the economic, military, and societal development of the United States.	FALL, SPRING, SUMMER					
UNIV 101	1	College Success	This course is designed to help students assess and develop the personal, interpersonal, intellectual, and social skills necessary to succeed in college. Study skills, Creative/Critical thinking, presentation, goal setting, career concerns and communication skills will be included. This course is available to freshmen only, and is highly recommended for ALL incoming first-year and transfer freshman students.	FALL, SPRING					
WX 201	3	Survey of Meteorology	This is a survey course in meteorology that includes applications to flight. Included is a systematic development of the following topics: the composition and general structure of the atmosphere, energy and energy transfer, seasonal and daily controls on temperature, pressure, wind, local and regional circulations, atmospheric stability, vertical motion, turbulence, moisture, fog, clouds, precipitation, icing, the general circulation pattern, climate, jet streams, air masses, fronts, mid-latitude cyclones, tropical cyclones, thunderstorms, and weather observations and charts.	FALL, SPRING, SUMMER					
WX 261	3	Applied Climatology	This course is an in-depth survey of the varied climates of the world and of the impact of climate on aviation. Emphasis is placed on understanding energy exchange processes that control climate and in describing in detail how and why temperature, precipitation and wind vary during the year and in relation to geography. Included is a treatment of climate variability, including how and why climate is thought to have changed in the past, and how it might change in the future, and of the tools used to understand this variability.	FALL, SPRING, SUMMER	WX 201				
									
									
	206								
